Game #,Day,Date,Start,End,Home Team,Away Team,Arena
JL9000,Monday,10/06/2014,19:45,21:00,Richmond Girls Juvenile C1,Surrey Female Juvenile C1,Richmond Olympic Oval South
JL9003,Thursday,10/16/2014,21:45,23:00,Tri-Cities Female Juvenile C1,Richmond Girls Juvenile C1,Port Coquitlam Blue
JL9005,Thursday,10/23/2014,19:45,21:15,Surrey Female Juvenile C1,Richmond Girls Juvenile C1,SS&L 3 Green
JL9006,Monday,10/27/2014,19:45,21:00,Richmond Girls Juvenile C1,Chilliwack Female Juvenile C1,Richmond Olympic Oval South
JL9009,Thursday,11/06/2014,21:45,23:00,Tri-Cities Female Juvenile C1,Richmond Girls Juvenile C1,Port Coquitlam Blue
JL9012,Tuesday,11/18/2014,22:00,23:30,North Shore Winter Club Juvenile C1,Richmond Girls Juvenile C1,North Shore Winter Club
JL9015,Monday,11/24/2014,19:45,21:00,Richmond Girls Juvenile C1,Surrey Female Juvenile C1,Richmond Olympic Oval South
JL9016,Tuesday,01/06/2015,21:45,23:15,Chilliwack Female Juvenile C1,Richmond Girls Juvenile C1,Chilliwack Twin Rinks 2
JL9019,Monday,01/12/2015,19:45,21:00,Richmond Girls Juvenile C1,Tri-Cities Female Juvenile C1,Richmond Olympic Oval South
JL9022,Monday,01/26/2015,19:45,21:00,Richmond Girls Juvenile C1,North Shore Winter Club Juvenile C1,Richmond Olympic Oval South
